SMILES,IE,EA
NC(=S)C(N)=S,4.8722788433238735,2.0899093306084984
O=C(O)CCC(=O)O,6.550459474723175,-0.18071988220654006
CO[Si](CCCN)(OC)OC,4.7741388023547175,-0.822586731314368
O=c1n(-c2ccccc2)c(=O)n2n1[C@H]1C=C[C@@H]2[C@H]1O,4.735966479876515,2.1025973186238844
N#Cc1c(O)cc(S(=O)(=O)c2ccccc2)c(O)c1C#N,5.311891242332059,2.0141568216873567
[Mg]Br,6.030250224817428,1.285834363801405
C=CC(=O)NC(C)(C)CS([O])([O])O,5.816226217165967,0.8913162456243299
C/C=N/O,5.653610170878527,0.9705567505421642
CCCCCCCS[C@@H](F)C(=O)OCC,5.367907671954162,0.8213391570076056
C=CC[C@@H](O)c1cccc(C)c1,5.017922942689983,-0.2376757712576363
Fc1c(F)c(F)c(Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F,5.41039439743472,1.1883234418652138
Fc1cc(F)c(F)c(F)c1F,5.832067841297977,0.8928094485432667
CC(=O)c1ccc(Cl)c(Cl)c1,5.664684017692343,1.2430501797876787
CC(C)(C)/C=C/C(=O)C(C)(C)C,5.40351529701511,0.7386585263499001
C[SiH](C)c1ccccc1,5.347380707394769,-0.2763217269206506
Clc1ccc2[nH]nnc2c1,5.273727417961345,0.7822565266593302
N#Cc1ccc(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,5.97047010432434,0.7909738975664369
C[C@@H]1CCC(=O)N1C(=O)[C@H](O)c1ccccc1,5.232415437852613,0.7135318365413696
c1ccc2c(c1)CC[C@H]1CCCC[C@@H]21,4.904101928162708,-0.6629288889875169
O=Nc1c(F)c(F)c(F)c(F)c1F,5.183060697856126,2.6889262557248004
N#CN(c1ccccc1)c1ccccc1,4.683653187612071,0.02806340338938762
N#C[C](C#N)C#N,4.415910898649235,-0.8056508313151425
[Cl],5.2758324035417905,-1.4266788325880042
Cc1ccc(S(=O)(=O)N2CCCCC2=O)cc1,5.41302214364041,1.5544904327958649
c1ccc(CNc2ccccc2)cc1,3.880711934123247,-0.3966336442739702
CO[C@H](SCC(F)(F)F)c1ccccc1,5.262331116243876,1.4349641489185156
c1ccc(NNc2ccccc2)cc1,3.3308635687113566,-0.44448399746615896
O=C(Cl)c1ccccc1C(=O)Cl,6.242931535709068,2.0365294745512075
NCCS,4.7701765609177516,-0.6491338711370189
Cn1cc2c(c1)C(=O)C=CC2=O,5.133913577999556,2.163642847366282
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)F,7.536128803554312,1.0466265278715583
FC(F)(F)[C@H](Sc1ccccc1)c1ccccc1,4.758819927957665,1.338641490970622
COc1ccc(/C=N/c2ccc(Cl)cc2)cc1,4.3642623859355805,0.98566505509516
O=[N+]([O-])c1ccc(-c2nnc3ccccn23)cc1,4.784466730719577,2.1759634844107496
O=Cc1c2ccccc2cc2ccccc12,4.291946446226211,1.7056404482005747
COc1ccc(OC)c(C[N+](=O)[O-])c1,4.210898865954368,1.6412692067075114
CC1CCC(=O)CC1,5.531258697721205,0.010415770593317664
CCOC(=O)c1ccccc1C(=O)OCC,5.725515643198014,1.0361474783654558
CO/C=C/C=C(OC)OC,3.1844613629105876,-0.11378056908179125
CC(=O)OC1=CCCCC1,4.802726331204758,-0.06705576035747063
CN1[C@H]2[C@@H]3C=C[C@@H](C3)[C@H]2N1C,3.190951065712943,-0.9863405753607366
CC(C)CN(CC(C)C)C(=S)S,4.438923737414006,0.7747851704567439
CC1=CC(=O)C=C(C)C(=O)C1=O,5.745593587267286,2.885980139617095
CCNc1ccc(NCC)cc1,2.978684782846904,-0.6795240017803734
CC(C)(C)S(=O)C(C)(C)C,4.550641627616279,-0.9157689887528248
Nc1ccc(-c2ccc(N)c(N)c2)cc1N,3.115840097821638,-0.0823099777866445
CC(=O)Nc1ccn([C@H]2C=C[C@@H](COC(C)=O)O2)c(=O)n1,5.25034105941595,1.0861498737918738
CC(=O)Nc1cccc(N)c1,4.018186566523219,-0.34192255017333073
C=CC[C@@H](O)c1cccc2ccccc12,4.516736523606231,0.3768465269218724
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,4.696953238564309,1.2003744276895305
CCCSC#CSCCC,4.243848327934392,0.4948639123591421
CC(C)Cc1ccc([C@@H](C)Cl)cc1,5.124646183392178,2.31287175267571
CC1=NN(c2ccccc2)C(=O)[C@H]1C(=O)c1ccccc1,4.6202274491894055,1.29431374393389
c1ccc(C(c2ccccc2)c2ccccc2)cc1,4.966339383552258,-0.2655508353258482
C=CC[C@](C)(O)CC(C)C,4.916313730560068,-0.6899181599277653
O=c1cc[nH]c2ccccc12,4.660241878953093,0.5619515710619454
COc1ccc([N+](=O)[O-])cc1N,4.257940602948656,1.8396502795818384
C[C]1[CH][C]2[CH][C]([CH]1)CCc1cccc(c1)CC2,0.4873361823352753,3.5872744469503237
CC[C]N(CCC)CCC,3.242571839141965,-0.22523646536537845
CN1CN(C)N(C)CN1C,3.1822364159448626,-0.9497095628052192
ON=C(c1ccccc1)c1ccccc1,4.774289496280835,0.6840701664783411
CN1c2ccccc2[Si](C)(C)c2ccccc21,3.833768860165583,-0.20915799062859144
C[C@H]1CCCCN1C,3.7248782735601713,-1.0906348599095508
COc1ccc2cccc(OC)c2c1,3.9326666837492663,0.20293955500310407
O=CNc1ccccc1,4.784177666909819,0.031184611701610358
Cc1c(-c2ccccc2)c(C=O)n2ccccc12,4.065266010327469,0.747562545582332
C=CC(=C)CCC=C(C)C,4.66488299816192,0.18094763566077754
O=C1C=CC(=O)C2=C1CC2,6.113467276199663,2.7590309439652634
O=C(O)C12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3,5.866657616382872,-0.5404760452642221
Cc1ccc(SC#CSc2ccc(C)cc2)cc1,4.2371833783778134,0.8273386276792736
